
Header version:              	4
Header size:                 	200
Signal type:                 	raw time signal
Config-uuid:                 	F17E54DD-BDA0-492B-8234-871B36C63EAC
Measurement-uuid:            	3E887873-5DEC-40A3-A8DD-268A3489ADB3
Distance between samples:    	0.00078125 (1280Hz)
Scaling factor:              	0.002309
Offset:                      	-664.687706
Measurement timestamp:       	2025-04-16 07:40:11.795 (UTC)
First sample timestamp:    	2025-04-16 07:40:11.188 (UTC)
Unit-uuid:                   	061FD037-80DF-41CB-AC80-1F1DAEB6F56C
Compression:                 	zlib (2)
Data type:                   	signed int 16 (2)
Number of samples:           	2048
Byte count samples:          	28
Rotational frequency:        	nan
Data checksum:               	31027
Header checksum:             	5902

 	index   	raw value 	scaled value
   	 177  	        202	  2.001451 
   	 178  	        202	  2.001451 
   	 179  	        202	  2.001451 
   	 180  	        202	  2.001451 
   	 181  	        202	  2.001451 
   	 182  	        202	  2.001451 
   	 183  	        202	  2.001451 
   	 184  	        202	  2.001451 
   	 185  	        202	  2.001451 
   	 186  	        202	  2.001451 
   	 187  	        202	  2.001451 
   	 188  	        202	  2.001451 
   	 189  	        202	  2.001451 
   	 190  	        202	  2.001451 
   	 191  	        202	  2.001451 
   	 192  	        202	  2.001451 
   	 193  	        202	  2.001451 
   	 194  	        202	  2.001451 
   	 195  	        202	  2.001451 
   	 196  	        202	  2.001451 
   	 197  	        202	  2.001451 
   	 198  	        202	  2.001451 
   	 199  	        202	  2.001451 
   	 200  	        202	  2.001451 
   	 201  	        202	  2.001451 
   	 202  	        202	  2.001451 
   	 203  	        202	  2.001451 
   	 204  	        202	  2.001451 
   	 205  	        202	  2.001451 
   	 206  	        202	  2.001451 
   	 207  	        202	  2.001451 
   	 208  	        202	  2.001451 
   	 209  	        202	  2.001451 
   	 210  	        202	  2.001451 
   	 211  	        202	  2.001451 
   	 212  	        202	  2.001451 
   	 213  	        202	  2.001451 
   	 214  	        202	  2.001451 
   	 215  	        202	  2.001451 
   	 216  	        202	  2.001451 
   	 217  	        202	  2.001451 
   	 218  	        202	  2.001451 
   	 219  	        202	  2.001451 
   	 220  	        202	  2.001451 
   	 221  	        202	  2.001451 
   	 222  	        202	  2.001451 
   	 223  	        202	  2.001451 
   	 224  	        202	  2.001451 
   	 225  	        202	  2.001451 
   	 226  	        202	  2.001451 
   	 227  	        202	  2.001451 
   	 228  	        202	  2.001451 
   	 229  	        202	  2.001451 
   	 230  	        202	  2.001451 
   	 231  	        202	  2.001451 
   	 232  	        202	  2.001451 
   	 233  	        202	  2.001451 
   	 234  	        202	  2.001451 
   	 235  	        202	  2.001451 
   	 236  	        202	  2.001451 
   	 237  	        202	  2.001451 
   	 238  	        202	  2.001451 
   	 239  	        202	  2.001451 
   	 240  	        202	  2.001451 
   	 241  	        202	  2.001451 
   	 242  	        202	  2.001451 
   	 243  	        202	  2.001451 
   	 244  	        202	  2.001451 
   	 245  	        202	  2.001451 
   	 246  	        202	  2.001451 
   	 247  	        202	  2.001451 
   	 248  	        202	  2.001451 
   	 249  	        202	  2.001451 
   	 250  	        202	  2.001451 
   	 251  	        202	  2.001451 
   	 252  	        202	  2.001451 
   	 253  	        202	  2.001451 
   	 254  	        202	  2.001451 
   	 255  	        202	  2.001451 
   	 256  	        202	  2.001451 
   	 257  	        202	  2.001451 
   	 258  	        202	  2.001451 
   	 259  	        202	  2.001451 
   	 260  	        202	  2.001451 
   	 261  	        202	  2.001451 
   	 262  	        202	  2.001451 
   	 263  	        202	  2.001451 
   	 264  	        202	  2.001451 
   	 265  	        202	  2.001451 
   	 266  	        202	  2.001451 
   	 267  	        202	  2.001451 
   	 268  	        202	  2.001451 
   	 269  	        202	  2.001451 
   	 270  	        202	  2.001451 
   	 271  	        202	  2.001451 
   	 272  	        202	  2.001451 
   	 273  	        202	  2.001451 
   	 274  	        202	  2.001451 
   	 275  	        202	  2.001451 
   	 276  	        202	  2.001451 
   	 277  	        202	  2.001451 
   	 278  	        202	  2.001451 
   	 279  	        202	  2.001451 
   	 280  	        202	  2.001451 
   	 281  	        202	  2.001451 
   	 282  	        202	  2.001451 
   	 283  	        202	  2.001451 
   	 284  	        202	  2.001451 
   	 285  	        202	  2.001451 
   	 286  	        202	  2.001451 
   	 287  	        202	  2.001451 
   	 288  	        202	  2.001451 
   	 289  	        202	  2.001451 
   	 290  	        202	  2.001451 
   	 291  	        202	  2.001451 
   	 292  	        202	  2.001451 
   	 293  	        202	  2.001451 
   	 294  	        202	  2.001451 
   	 295  	        202	  2.001451 
   	 296  	        202	  2.001451 
   	 297  	        202	  2.001451 
   	 298  	        202	  2.001451 
   	 299  	        202	  2.001451 
   	 300  	        202	  2.001451 
   	 301  	        202	  2.001451 
   	 302  	        202	  2.001451 
   	 303  	        202	  2.001451 
   	 304  	        202	  2.001451 
   	 305  	        202	  2.001451 
   	 306  	        202	  2.001451 
   	 307  	        202	  2.001451 
   	 308  	        202	  2.001451 
   	 309  	        202	  2.001451 
   	 310  	        202	  2.001451 
   	 311  	        202	  2.001451 
   	 312  	        202	  2.001451 
   	 313  	        202	  2.001451 
   	 314  	        202	  2.001451 
   	 315  	        202	  2.001451 
   	 316  	        202	  2.001451 
   	 317  	        202	  2.001451 
   	 318  	        202	  2.001451 
   	 319  	        202	  2.001451 
   	 320  	        202	  2.001451 
   	 321  	        202	  2.001451 
   	 322  	        202	  2.001451 
   	 323  	        202	  2.001451 
   	 324  	        202	  2.001451 
   	 325  	        202	  2.001451 
   	 326  	        202	  2.001451 
   	 327  	        202	  2.001451 
   	 328  	        202	  2.001451 
   	 329  	        202	  2.001451 
   	 330  	        202	  2.001451 
   	 331  	        202	  2.001451 
   	 332  	        202	  2.001451 
   	 333  	        202	  2.001451 
   	 334  	        202	  2.001451 
   	 335  	        202	  2.001451 
   	 336  	        202	  2.001451 
   	 337  	        202	  2.001451 
   	 338  	        202	  2.001451 
   	 339  	        202	  2.001451 
   	 340  	        202	  2.001451 
   	 341  	        202	  2.001451 
   	 342  	        202	  2.001451 
   	 343  	        202	  2.001451 
   	 344  	        202	  2.001451 
   	 345  	        202	  2.001451 
   	 346  	        202	  2.001451 
   	 347  	        202	  2.001451 
   	 348  	        202	  2.001451 
   	 349  	        202	  2.001451 
   	 350  	        202	  2.001451 
   	 351  	        202	  2.001451 
   	 352  	        202	  2.001451 
   	 353  	        202	  2.001451 
   	 354  	        202	  2.001451 
   	 355  	        202	  2.001451 
   	 356  	        202	  2.001451 
   	 357  	        202	  2.001451 
   	 358  	        202	  2.001451 
   	 359  	        202	  2.001451 
   	 360  	        202	  2.001451 
   	 361  	        202	  2.001451 
   	 362  	        202	  2.001451 
   	 363  	        202	  2.001451 
   	 364  	        202	  2.001451 
   	 365  	        202	  2.001451 
   	 366  	        202	  2.001451 
   	 367  	        202	  2.001451 
   	 368  	        202	  2.001451 
   	 369  	        202	  2.001451 
   	 370  	        202	  2.001451 
